date,open,high,low,close,volume,average,barCount
2021-08-16 00:15:00,1.179625,1.179735,1.1795,1.17965,-1,-1.0,-1
2021-08-16 00:20:00,1.17965,1.17965,1.1796,1.1796,-1,-1.0,-1
2021-08-16 00:30:00,1.1796,1.1796,1.179565,1.179585,-1,-1.0,-1
2021-08-16 00:40:00,1.179585,1.1796,1.179565,1.1796,-1,-1.0,-1
2021-08-16 00:50:00,1.1796,1.1796,1.179455,1.179455,-1,-1.0,-1
2021-08-16 01:00:00,1.179455,1.180135,1.17945,1.17992,-1,-1.0,-1
2021-08-16 01:10:00,1.17992,1.17992,1.179685,1.179695,-1,-1.0,-1
2021-08-16 01:20:00,1.179695,1.17973,1.179165,1.17922,-1,-1.0,-1
2021-08-16 01:30:00,1.17922,1.17945,1.17922,1.17945,-1,-1.0,-1
2021-08-16 01:40:00,1.17945,1.179475,1.17938,1.179405,-1,-1.0,-1
2021-08-16 01:50:00,1.179405,1.179505,1.17935,1.179355,-1,-1.0,-1
2021-08-16 02:00:00,1.179355,1.179605,1.179345,1.179595,-1,-1.0,-1
2021-08-16 02:10:00,1.179595,1.17961,1.179515,1.179515,-1,-1.0,-1
2021-08-16 02:20:00,1.179515,1.179515,1.17941,1.179435,-1,-1.0,-1
2021-08-16 02:30:00,1.179435,1.1795,1.17937,1.179395,-1,-1.0,-1
2021-08-16 02:40:00,1.179395,1.179435,1.179295,1.1793,-1,-1.0,-1
2021-08-16 02:50:00,1.1793,1.179445,1.17921,1.17942,-1,-1.0,-1
2021-08-16 03:00:00,1.17942,1.179755,1.179365,1.17937,-1,-1.0,-1
2021-08-16 03:10:00,1.17937,1.17964,1.1793,1.17964,-1,-1.0,-1
2021-08-16 03:20:00,1.17964,1.17964,1.17941,1.179475,-1,-1.0,-1
2021-08-16 03:30:00,1.179475,1.17951,1.1793,1.179315,-1,-1.0,-1
2021-08-16 03:40:00,1.179315,1.17962,1.17931,1.179615,-1,-1.0,-1
2021-08-16 03:50:00,1.179615,1.17962,1.179325,1.179565,-1,-1.0,-1
2021-08-16 04:00:00,1.179565,1.17962,1.17946,1.179575,-1,-1.0,-1
2021-08-16 04:10:00,1.179575,1.17974,1.17956,1.17964,-1,-1.0,-1
2021-08-16 04:20:00,1.17964,1.179815,1.17964,1.179795,-1,-1.0,-1
2021-08-16 04:30:00,1.179795,1.17985,1.179715,1.17977,-1,-1.0,-1
2021-08-16 04:40:00,1.17977,1.18003,1.17976,1.17999,-1,-1.0,-1
2021-08-16 04:50:00,1.17999,1.180075,1.179785,1.17981,-1,-1.0,-1
2021-08-16 05:00:00,1.17981,1.179995,1.17964,1.179915,-1,-1.0,-1
2021-08-16 05:10:00,1.179915,1.180025,1.179805,1.179815,-1,-1.0,-1
2021-08-16 05:20:00,1.179815,1.17986,1.179655,1.179655,-1,-1.0,-1
2021-08-16 05:30:00,1.179655,1.17977,1.17962,1.179695,-1,-1.0,-1
2021-08-16 05:40:00,1.179695,1.179805,1.17961,1.179765,-1,-1.0,-1
2021-08-16 05:50:00,1.179765,1.179855,1.17961,1.179615,-1,-1.0,-1
2021-08-16 06:00:00,1.179615,1.179625,1.17926,1.17926,-1,-1.0,-1
2021-08-16 06:10:00,1.17926,1.1793,1.179125,1.179195,-1,-1.0,-1
2021-08-16 06:20:00,1.179195,1.179275,1.179155,1.17923,-1,-1.0,-1
2021-08-16 06:30:00,1.17923,1.17926,1.179005,1.179055,-1,-1.0,-1
2021-08-16 06:40:00,1.179055,1.17916,1.179005,1.17912,-1,-1.0,-1
2021-08-16 06:50:00,1.17912,1.17917,1.179015,1.179025,-1,-1.0,-1
2021-08-16 07:00:00,1.179025,1.179115,1.179005,1.17906,-1,-1.0,-1
2021-08-16 07:10:00,1.17906,1.179115,1.17905,1.17911,-1,-1.0,-1
2021-08-16 07:20:00,1.17911,1.179165,1.179065,1.17912,-1,-1.0,-1
2021-08-16 07:30:00,1.17912,1.17934,1.179115,1.17932,-1,-1.0,-1
2021-08-16 07:40:00,1.17932,1.17932,1.17921,1.179275,-1,-1.0,-1
